Name	source	expectedSex
Adele	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Alina	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Alisa	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Alwina	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Annelie	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Antonia	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Bernadette	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Carla	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Charlotte	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Christiane	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Clara	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Elisa	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Elisabeth	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Elise	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Emilia	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Fiona	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Franka	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Frieda	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Friederike	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Greta	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Hanna	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Hedda	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Henriette	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Hilda	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Ilsa	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Johanna	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Josephine	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Juna	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Lara	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Laura	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Leonie	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Lieselotte	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Lina	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Lotte	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Louisa	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Maja	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Maria	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Marie	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Marleen	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Martha	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Mathilda	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Mila	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Paula	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Romy	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Rosalie	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Senta	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Theresa	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Valentina	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Wilhelmine	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Wilma	https://www.pampers.de/schwangerschaft/babynamen/artikel/250-maedchennamen	f
Mia	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Emma	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Sofia	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Hanna	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Emilia	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Anna	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Marie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Mila	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Lina	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Lea	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Lena	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Leonie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Amelie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Luisa	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Johanna	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Emilie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Clara	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Sofie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Charlotte	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Lilli	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Lara	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Laura	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Leni	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Nele	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Ella	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Mathilda	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Maja	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Annabelle	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Luna	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Annie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Alina	https://www.vorname.com/maedchennamen.html	f
Alma	https://www.vorname.com/maedchennamen.html	f
Alva	https://www.vorname.com/maedchennamen.html	f
Amalia	https://www.vorname.com/maedchennamen.html	f
Amelia	https://www.vorname.com/maedchennamen.html	f
Amelie	https://www.vorname.com/maedchennamen.html	f
Anja	https://www.vorname.com/maedchennamen.html	f
Anna	https://www.vorname.com/maedchennamen.html	f
Antonia	https://www.vorname.com/maedchennamen.html	f
Aurelia	https://www.vorname.com/maedchennamen.html	f
Aurora	https://www.vorname.com/maedchennamen.html	f
Ava	https://www.vorname.com/maedchennamen.html	f
Barbara	https://www.vorname.com/maedchennamen.html	f
Bärbel	https://www.vorname.com/maedchennamen.html	f
Bea	https://www.vorname.com/maedchennamen.html	f
Beatrice	https://www.vorname.com/maedchennamen.html	f
Bella	https://www.vorname.com/maedchennamen.html	f
Benita	https://www.vorname.com/maedchennamen.html	f
Berfin	https://www.vorname.com/maedchennamen.html	f
Bettina	https://www.vorname.com/maedchennamen.html	f
Bianca	https://www.vorname.com/maedchennamen.html	f
Birgit	https://www.vorname.com/maedchennamen.html	f
Bonnie	https://www.vorname.com/maedchennamen.html	f
Brigitte	https://www.vorname.com/maedchennamen.html	f
Carla	https://www.vorname.com/maedchennamen.html	f
Carlotta	https://www.vorname.com/maedchennamen.html	f
Carolin	https://www.vorname.com/maedchennamen.html	f
Cataleya	https://www.vorname.com/maedchennamen.html	f
Cecilia	https://www.vorname.com/maedchennamen.html	f
Celine	https://www.vorname.com/maedchennamen.html	f
Charlotte	https://www.vorname.com/maedchennamen.html	f
Chiara	https://www.vorname.com/maedchennamen.html	f
Christina	https://www.vorname.com/maedchennamen.html	f
Clara	https://www.vorname.com/maedchennamen.html	f
Claudia	https://www.vorname.com/maedchennamen.html	f
Cleo	https://www.vorname.com/maedchennamen.html	f
Dagmar	https://www.vorname.com/maedchennamen.html	f
Dalia	https://www.vorname.com/maedchennamen.html	f
Dana	https://www.vorname.com/maedchennamen.html	f
Daniela	https://www.vorname.com/maedchennamen.html	f
Daria	https://www.vorname.com/maedchennamen.html	f
Davina	https://www.vorname.com/maedchennamen.html	f
Deborah	https://www.vorname.com/maedchennamen.html	f
Delia	https://www.vorname.com/maedchennamen.html	f
Denise	https://www.vorname.com/maedchennamen.html	f
Diana	https://www.vorname.com/maedchennamen.html	f
Dilara	https://www.vorname.com/maedchennamen.html	f
Doris	https://www.vorname.com/maedchennamen.html	f
Eldrid	https://www.vorname.com/maedchennamen.html	f
Elea	https://www.vorname.com/maedchennamen.html	f
Elena	https://www.vorname.com/maedchennamen.html	f
Eleonora	https://www.vorname.com/maedchennamen.html	f
Elin	https://www.vorname.com/maedchennamen.html	f
Elina	https://www.vorname.com/maedchennamen.html	f
Elisa	https://www.vorname.com/maedchennamen.html	f
Elisabeth	https://www.vorname.com/maedchennamen.html	f
Ella	https://www.vorname.com/maedchennamen.html	f
Emilia	https://www.vorname.com/maedchennamen.html	f
Emily	https://www.vorname.com/maedchennamen.html	f
Emma	https://www.vorname.com/maedchennamen.html	f
Fabienne	https://www.vorname.com/maedchennamen.html	f
Felicia	https://www.vorname.com/maedchennamen.html	f
Felicitas	https://www.vorname.com/maedchennamen.html	f
Feline	https://www.vorname.com/maedchennamen.html	f
Fenja	https://www.vorname.com/maedchennamen.html	f
Finja	https://www.vorname.com/maedchennamen.html	f
Fiona	https://www.vorname.com/maedchennamen.html	f
Flora	https://www.vorname.com/maedchennamen.html	f
Franziska	https://www.vorname.com/maedchennamen.html	f
Freya	https://www.vorname.com/maedchennamen.html	f
Frida	https://www.vorname.com/maedchennamen.html	f
Frieda	https://www.vorname.com/maedchennamen.html	f
Genevieve	https://www.vorname.com/maedchennamen.html	f
Gerda	https://www.vorname.com/maedchennamen.html	f
Gesa	https://www.vorname.com/maedchennamen.html	f
Gianna	https://www.vorname.com/maedchennamen.html	f
