"";"Name";"expectedSex";"Rating_Mean";"Rating_SD";"Rating_Median"
"49";"Jakob";"m";1,05714285714286;0,338061701891407;1
"115";"Georg";"m";1,08571428571429;0,373491363112091;1
"53";"Julius";"m";1,08571428571429;0,373491363112091;1
"91";"Moritz";"m";1,11428571428571;0,322802851090676;1
"93";"Paul";"m";1,11428571428571;0,322802851090676;1
"61";"Tobias";"m";1,11428571428571;0,322802851090676;1
"11";"Maximilian";"m";1,11428571428571;0,403763804821623;1
"129";"Thomas";"m";1,11428571428571;0,403763804821623;1
"42";"Johannes";"m";1,14285714285714;0,355035801248363;1
"84";"Hugo";"m";1,14285714285714;0,429969707746757;1
"13";"Lukas";"m";1,14285714285714;0,429969707746757;1
"133";"Peter";"m";1,14285714285714;0,429969707746757;1
"54";"Matteo";"m";1,17142857142857;0,45281565433046;1
"34";"Oliver";"m";1,17142857142857;0,45281565433046;1
"112";"Felix";"m";1,2;0,472788971703768;1
"29";"Patrick";"m";1,2;0,531368931324057;1
"73";"Anton";"m";1,2;0,584103133520302;1
"126";"Oskar";"m";1,22857142857143;0,546954901125811;1
"44";"Sebastian";"m";1,22857142857143;0,645605702181351;1
"105";"Erik";"m";1,25714285714286;0,560611910581388;1
"130";"Benedikt";"m";1,25714285714286;0,657215925787898;1
"132";"Konstantin";"m";1,25714285714286;0,657215925787898;1
"68";"Fabian";"m";1,25714285714286;0,700540007794707;1
"86";"Benjamin";"m";1,25714285714286;0,918530064282926;1
"120";"Hans";"m";1,25714285714286;1,03874520294375;1
"47";"Philipp";"m";1,25714285714286;1,0666841735258;1
"103";"Daniel";"m";1,28571428571429;0,621735170188031;1
"19";"Michael";"m";1,31428571428571;0,676123403782813;1
"21";"Timo";"m";1,34285714285714;0,764770520862194;1
"100";"Karl";"m";1,34285714285714;1,1099246700156;1
"127";"Adrian";"m";1,37142857142857;0,731063459292424;1
"146";"Benno";"m";1,4;0,694516336148021;1
"79";"Julian";"m";1,4;1,1682062670406;1
"59";"Raphael";"m";1,45714285714286;0,885931120110267;1
"22";"Florian";"m";1,45714285714286;1,44187086683886;1
"88";"Finn";"n";1,48571428571429;0,817867692860655;1
"57";"Hannes";"m";1,51428571428571;0,950895199626262;1
"108";"Clemens";"m";1,51428571428571;1,06747168501995;1
"12";"Simon";"m";1,51428571428571;1,22165337751341;1
"27";"Tim";"m";1,51428571428571;1,46270154109419;1
"38";"Jan";"m";1,54285714285714;0,980481788619822;1
"25";"Valentin";"m";1,54285714285714;1,17179744141105;1
"5";"Linus";"m";1,57142857142857;0,884032015846721;1
"23";"Emil";"m";1,62857142857143;1,23873071388119;1
"81";"Kilian";"m";1,65714285714286;0,968408553272027;1
"64";"Mats";"m";1,65714285714286;1,02735689264926;1
"114";"Damian";"m";1,74285714285714;0,918530064282926;1
"137";"Marlon";"m";1,74285714285714;1,09390980225162;1
"97";"Noah";"n";1,85714285714286;1,11521185386078;1
"71";"Gabriel";"m";1,85714285714286;1,37504774554232;1
"7";"Dylan";"n";1,97142857142857;1,22440175753939;1
"106";"Kai";"n";2,14285714285714;1,45809822034322;1
"85";"Chris";"n";2,17142857142857;1,2944613752835;2
"43";"Liam";"m";2,17142857142857;1,48493838821909;2
"123";"Leo";"m";2,34285714285714;1,28206765772778;2
"24";"Robin";"n";2,37142857142857;1,41599506242314;2
