"";"Name";"Rating_Mean";"Rating_SD";"Rating_Median";"Name_Class"
"66";"Noel";2,74285714285714;1,46212691858485;3;"n"
"70";"Gerrit";2,88571428571429;1,7618744792613;3;"n"
"109";"Ulli";2,91428571428571;1,29186205262993;3;"n"
"74";"Lovis";2,94285714285714;1,30480688548281;3;"n"
"30";"Florin";3,11428571428571;1,62284116455621;3;"n"
"62";"Toni";3,14285714285714;1,53666669704758;4;"n"
"72";"Tomke";3,17142857142857;1,54321502229664;4;"n"
"119";"Renée";3,22857142857143;1,28534074872624;4;"n"
"48";"Sam";3,31428571428571;1,18250552968309;4;"n"
"58";"Bente";3,37142857142857;1,55460822160732;4;"n"
"145";"Jean";3,42857142857143;1,42014320499345;4;"n"
"28";"Luca";3,45714285714286;1,59674037712233;4;"n"
"52";"Sascha";3,45714285714286;1,70367866935152;4;"n"
"33";"Mika";3,65714285714286;1,23533413300534;4;"n"
"144";"Marlin";3,65714285714286;1,28206765772778;4;"n"
"10";"Jona";3,8;1,9372509327577;4;"n"
"138";"Quinn";3,82857142857143;1,59936962371971;4;"n"
"113";"Charlie";3,97142857142857;1,31698662920798;4;"n"
"37";"Marian";4,05714285714286;2,01381781322789;4;"n"
"63";"Jamie";4,11428571428571;1,02243735811076;4;"n"
"45";"Maxime";4,22857142857143;1,68183573174416;4;"n"
"101";"Romy";4,71428571428571;1,60094509902246;4;"n"
"35";"Kim";4,74285714285714;1,03874520294375;4;"n"
"36";"Sidney";4,74285714285714;1,42132616496949;4;"n"
"111";"Elia";4,74285714285714;1,66879416033849;4;"n"
"125";"Eike";4,8;1,92200875311712;5;"n"
"16";"Benja";4,91428571428571;1,26889086749549;5;"n"
"60";"Daniele";4,94285714285714;1,96951557410411;5;"n"
"56";"Dominique";4,97142857142857;1,91719332674116;5;"n"
"26";"Janne";5,2;1,54919333848297;5;"n"
