"";"Name";"Rating_Mean";"Rating_SD";"Name_Class"
"30";"Florin";3,15151515151515;1,62252141975869;"n"
"119";"Renée";3,18181818181818;1,30992713190814;"n"
"72";"Tomke";3,18181818181818;1,50943999248367;"n"
"62";"Toni";3,21212121212121;1,53617983480076;"n"
"58";"Bente";3,33333333333333;1,59426053914242;"n"
"48";"Sam";3,36363636363636;1,14067364466633;"n"
"145";"Jean";3,42424242424242;1,45838744488354;"n"
"52";"Sascha";3,51515151515152;1,69781499509686;"n"
"28";"Luca";3,57575757575758;1,56185592786081;"n"
"33";"Mika";3,66666666666667;1,21620995994387;"n"
"144";"Marlin";3,66666666666667;1,31497781983829;"n"
"10";"Jona";3,84848484848485;1,9222579841363;"n"
"138";"Quinn";3,93939393939394;1,56003593587203;"n"
"113";"Charlie";4;1,34629120178363;"n"
"63";"Jamie";4,15151515151515;1,03444466143712;"n"
"37";"Marian";4,18181818181818;1,99145903570952;"n"
"45";"Maxime";4,3030303030303;1,68606139576915;"n"
"101";"Romy";4,63636363636364;1,59722771189219;"n"
"35";"Kim";4,6969696969697;1,04537219702029;"n"
"36";"Sidney";4,78787878787879;1,45253175003113;"n"
"111";"Elia";4,78787878787879;1,70948778435193;"n"
"125";"Eike";4,84848484848485;1,95450140894699;"n"
"16";"Benja";4,87878787878788;1,2931931351691;"n"
"56";"Dominique";4,96969696969697;1,96030687146248;"n"
